Titel,Sender,Jahr,Regie,LB ★,MUBI ★,Stimmen,Dauer (min),Hinzugefügt am,Beschreibung,Mediathek-Link,Letterboxd-Link
Volver - Zurückkehren,ARTE.DE,,Pedro Almodóvar,4.1,,205279,113,01.07.2026,"Three generations of women deal with family secrets while surviving the east wind, fire, insanity, superstition, lies and even death.",https://www.arte.tv/de/videos/043486-000-A/volver-zurueckkehren/,https://letterboxd.com/film/volver/
All or Nothing,ARTE.DE,,Mike Leigh,3.89,,9080,123,01.07.2026,"Penny works at a supermarket and Phil is a gentle taxi-driver. Penny’s love for Phil has run dry and they lead joyless lives with their two children, Rachel, a cleaner, and Rory, who is unemployed and aggressive.",https://www.arte.tv/de/videos/044959-000-A/all-or-nothing/,https://letterboxd.com/film/all-or-nothing/
Ernst sein ist alles,ARTE.DE,,Anthony Asquith,3.66,,6234,90,30.06.2026,"Two young gentlemen living in 1890s England use the same pseudonym ('Ernest') on the sly, which is fine until they both fall in love with women using that name, which leads to a comedy of mistaken identities.",https://www.arte.tv/de/videos/132153-000-A/ernst-sein-ist-alles/,https://letterboxd.com/film/the-importance-of-being-earnest/
Papillon,ARD,,Michael Noer,3.55,,72216,143,02.07.2026,"Henri “Papillon” Charrière, a safecracker from the Parisian underworld, is wrongfully convicted and sentenced to life imprisonment in the penal colony of French Guiana, where he forges a strong friendship with Louis Dega, a counterfeiter who needs his protection.",https://www.ardmediathek.de/video/Y3JpZDovL2FyZC5kZS9wbGFuQVJEX2UzYjk0OTNiLWJkNmMtNGIwNi04YjQ1LWY5MmRkMzNlNjA5Ml9nYW56ZVNlbmR1bmc,https://letterboxd.com/film/papillon-2017/
Freier Atem,ARTE.DE,,Márta Mészáros,3.54,,289,77,26.06.2026,"Jutka, a young woman who works in a factory, falls in love with Andras, a university student. She pretends to be a student, to him and to his parents, and begins to live a lie. Finally she rebels against Andras and his demands and the social conventions that forced her to live a lie.",https://www.arte.tv/de/videos/132076-000-A/freier-atem/,https://letterboxd.com/film/riddance/
Toubab,ZDF,,Florian Dietrich,3.45,,1376,92,23.06.2026,"Matured through two years in prison, Babtou is looking forward to a new beginning with his buddy Dennis. A free man in a free world! But of all things, his welcome party where all the boys from the block are gathered ends in a police operation. Babtou has his hands cuffed again and is confronted with dramatic news. He will soon be deported to his “home country” of Senegal. To prevent a deportation, Babtou and Dennis are willing to do anything, including marriage.",https://www.zdf.de/filme/toubab-movie-100,https://letterboxd.com/film/toubab/
Rosenthal,ZDF,,Oliver Haffner,3.35,,230,92,01.07.2026,"Hans Rosenthal ist auf dem Höhepunkt seiner Karriere: als Liebling der Nation. Die 75. Ausgabe seines Straßenfegers ""Dalli Dalli"" steht kurz vor der Ausstrahlung. Doch die Feierlaune wird durch eine Entscheidung des Senders getrübt: Seine Jubiläumsshow fällt ausgerechnet auf den 9. November – 40 Jahre zuvor fanden rund um den 9. November die antisemitischen Pogrome statt. Rosenthal steckt in einem moralischen Dilemma.",https://www.zdf.de/filme/rosenthal-movie-100,https://letterboxd.com/film/rosenthal/
Margot und die Hochzeit,ARTE.DE,,Noah Baumbach,3.23,,29576,88,25.06.2026,"Margot Zeller is a short story writer with a sharp wit and an even sharper tongue. On the eve of her estranged sister Pauline's wedding to unemployed musician/artist/depressive Malcolm at the family seaside home, Margot shows up unexpectedly to rekindle the sisterly bond and offer her own brand of support. What ensues is a nakedly honest and subversively funny look at family dynamics.",https://www.arte.tv/de/videos/132066-000-A/margot-und-die-hochzeit/,https://letterboxd.com/film/margot-at-the-wedding/
Jericho Ridge - Unter Beschuss,3Sat,,Will Gilbey,3.14,,1823,83,24.02.2025,"North Washington county sheriff Tabby finds herself alone in the sheriff’s office one night while her colleagues are out on patrol, but she soon finds out they’ve been set up by a murderous drug cartel while she herself comes under siege at the office, where she must battle desperately to save herself and her son.",https://www.3sat.de/film/spielfilm/jericho-ridge---unter-beschuss-100.html,https://letterboxd.com/film/jericho-ridge/
Lake Placid,ZDFneo,,Steve Miner,2.77,,59863,78,24.06.2026,"When a man is eaten alive by an unknown creature, the local Game Warden teams up with a paleontologist from New York to find the beast. Add to the mix an eccentric philanthropist with a penchant for ""Crocs"", and here we go! This quiet, remote lake is suddenly the focus of an intense search for a crocodile with a taste for live animals...and people!",https://www.zdf.de/filme/lake-placid-movie-100,https://letterboxd.com/film/lake-placid/
Nackt,ARTE.DE,,Ruggero Deodato,2.61,,115579,126,01.07.2026,A New York University professor returns from a rescue mission to the Amazon rainforest with the footage shot by a lost team of documentarians who were making a film about the area's local cannibal tribes.,https://www.arte.tv/de/videos/018434-000-A/nackt/,https://letterboxd.com/film/cannibal-holocaust/
