titel,sender,lb_rating,lb_director,lb_year,lb_url,datum_gesehen
Mysteries of Lisbon,ARTE.DE,4.1,Raúl Ruiz,,https://letterboxd.com/film/mysteries-of-lisbon-2010/,
Once Upon a Time in America,ARTE.DE,4.22,Sergio Leone,,https://letterboxd.com/film/once-upon-a-time-in-america/,
Private Confessions,ARTE.DE,3.57,Liv Ullmann,,https://letterboxd.com/film/private-confessions/,
"So Long, My Son",ARTE.DE,4.16,Wang Xiaoshuai,,https://letterboxd.com/film/so-long-my-son/,
"Duck, You Sucker",ARTE.DE,3.96,Sergio Leone,,https://letterboxd.com/film/duck-you-sucker/,
There Is No Evil,ARTE.DE,3.8,Mohammad Rasoulof,,https://letterboxd.com/film/there-is-no-evil/,
Perfume: The Story of a Murderer,3Sat,3.59,Tom Tykwer,,https://letterboxd.com/film/perfume-the-story-of-a-murderer/,
Divergent,ZDFneo,3.06,Neil Burger,,https://letterboxd.com/film/divergent/,
The Beasts,ARTE.DE,4.08,Rodrigo Sorogoyen,,https://letterboxd.com/film/the-beasts-2022/,
Sweet Dreams,ARTE.DE,3.36,Marco Bellocchio,,https://letterboxd.com/film/sweet-dreams-2016/,
Serpico,ARD,3.92,Sidney Lumet,,https://letterboxd.com/film/serpico/,
Parasite,ARTE.DE,4.52,Bong Joon Ho,,https://letterboxd.com/film/parasite-2019/,
Benedetta,ARTE.DE,3.4,Paul Verhoeven,,https://letterboxd.com/film/benedetta/,
Cape Fear,ARTE.DE,3.72,Martin Scorsese,,https://letterboxd.com/film/cape-fear-1991/,
Jennifer Eight,ARTE.DE,3.01,Bruce Robinson,,https://letterboxd.com/film/jennifer-eight/,
Gangsta,ZDF,3.19,"Adil El Arbi, Bilall Fallah",,https://letterboxd.com/film/gangsta/,
Santosh,ARTE.DE,3.61,Sandhya Suri,,https://letterboxd.com/film/santosh-2024/,
Ronia: The Robber's Daughter,ZDF-tivi,3.81,Tage Danielsson,,https://letterboxd.com/film/ronia-the-robbers-daughter/,
Mississippi Burning,ARTE.DE,3.91,Alan Parker,,https://letterboxd.com/film/mississippi-burning/,
Gold,ARTE.DE,3.14,Stephen Gaghan,,https://letterboxd.com/film/gold-2016/,
Only God Sees Me,ARTE.DE,3.63,Bruno Podalydès,,https://letterboxd.com/film/only-god-sees-me/,
Pride & Prejudice,ARD,4.14,Joe Wright,,https://letterboxd.com/film/pride-prejudice/,
Allegiant,ZDFneo,2.18,Robert Schwentke,,https://letterboxd.com/film/allegiant/,
The Host,ARTE.DE,3.76,Bong Joon Ho,,https://letterboxd.com/film/the-host/,
Saturday Night Fever,3Sat,3.21,John Badham,,https://letterboxd.com/film/saturday-night-fever/,
Fatal Attraction,ARD,3.46,Adrian Lyne,,https://letterboxd.com/film/fatal-attraction/,
BlackBerry,ARTE.DE,3.77,Matt Johnson,,https://letterboxd.com/film/blackberry-2023/,
The Goldman Case,ARTE.DE,3.72,Cédric Kahn,,https://letterboxd.com/film/the-goldman-case/,
Yellow Devil,ARD,3.17,Robert Siodmak,,https://letterboxd.com/film/yellow-devil/,
The Yards,ARTE.DE,3.49,James Gray,,https://letterboxd.com/film/the-yards/,
The Vanished,ZDF,2.49,Peter Facinelli,,https://letterboxd.com/film/the-vanished-2020/,
Princesses,ARTE.DE,3.89,Fernando León de Aranoa,,https://letterboxd.com/film/princesses/,
The Keeper,ARD,3.41,Marcus H. Rosenmüller,,https://letterboxd.com/film/the-keeper-2018/,
Indecent Proposal,ARD,2.9,Adrian Lyne,,https://letterboxd.com/film/indecent-proposal/,
Greedy People,ZDF,3.06,Potsy Ponciroli,,https://letterboxd.com/film/greedy-people/,
Priscilla,ZDF,3.52,Sofia Coppola,,https://letterboxd.com/film/priscilla/,
Amador,ARTE.DE,3.33,Fernando León de Aranoa,,https://letterboxd.com/film/amador/,
Spencer,ARD,3.64,Pablo Larraín,,https://letterboxd.com/film/spencer-2021/,
Official Secrets,ZDF,3.56,Gavin Hood,,https://letterboxd.com/film/official-secrets/,
Freedom-Oleron,ARTE.DE,3.42,Bruno Podalydès,,https://letterboxd.com/film/freedom-oleron/,
Pain and Glory,ARTE.DE,4.05,Pedro Almodóvar,,https://letterboxd.com/film/pain-and-glory/,
Forever a Woman,ARTE.DE,4.1,Kinuyo Tanaka,,https://letterboxd.com/film/forever-a-woman/,
Delicious,3Sat,3.31,Éric Besnard,,https://letterboxd.com/film/delicious-2021/,
Local Hero,ARD,3.88,Bill Forsyth,,https://letterboxd.com/film/local-hero/,
The Straight Story,3Sat,4.19,David Lynch,,https://letterboxd.com/film/the-straight-story/,
The Conference,ZDF,3.48,Matti Geschonneck,,https://letterboxd.com/film/the-conference/,
To the Wonder,ARD,3.29,Terrence Malick,,https://letterboxd.com/film/to-the-wonder/,
Pleasure,ZDF,3.36,Ninja Thyberg,,https://letterboxd.com/film/pleasure-2021/,
The Bluff,ARD,2.54,Frank E. Flowers,,https://letterboxd.com/film/the-bluff-2026/,
Meet the Parents,ZDFneo,3.34,Jay Roach,,https://letterboxd.com/film/meet-the-parents/,
Pandorum,ZDFneo,3.04,Christian Alvart,,https://letterboxd.com/film/pandorum/,
Chef's Special,ARTE.DE,3.02,Nacho G. Velilla,,https://letterboxd.com/film/chefs-special/,
Footloose,3Sat,3.37,Herbert Ross,,https://letterboxd.com/film/footloose/,
Bibi & Tina: Perfect Pandemonium,ZDF-tivi,2.68,Detlev Buck,,https://letterboxd.com/film/bibi-tina-perfect-pandemonium/,
Marianne and Juliane,ARTE.DE,3.78,Margarethe von Trotta,,https://letterboxd.com/film/marianne-and-juliane/,
Kind Hearts and Coronets,ARTE.DE,4.07,Robert Hamer,,https://letterboxd.com/film/kind-hearts-and-coronets/,
Bibi & Tina: Girls vs. Boys,ZDF-tivi,3.19,Detlev Buck,,https://letterboxd.com/film/bibi-tina-girls-vs-boys/,
The Mysteries of Paris,ARTE.DE,3.26,André Hunebelle,,https://letterboxd.com/film/the-mysteries-of-paris/,
Fisherman's Friends,ARD,3.19,Chris Foggin,,https://letterboxd.com/film/fishermans-friends/,
Birgit Haas Must Be Killed,ARTE.DE,3.37,Laurent Heynemann,,https://letterboxd.com/film/birgit-haas-must-be-killed/,
Lost & Found,ZDF,2.52,Jorge Dorado,,https://letterboxd.com/film/lost-found-2022/,
Bad Education,ARTE.DE,3.96,Pedro Almodóvar,,https://letterboxd.com/film/bad-education/,
The White Horse Inn,ARD,3.34,Werner Jacobs,,https://letterboxd.com/film/the-white-horse-inn-1960/,
Canary Black,ZDF,2.28,Pierre Morel,,https://letterboxd.com/film/canary-black/,
The Moon Has Risen,ARTE.DE,3.77,Kinuyo Tanaka,,https://letterboxd.com/film/the-moon-has-risen/,
Elephant Walk,ARTE.DE,3.11,William Dieterle,,https://letterboxd.com/film/elephant-walk/,
The Wandering Princess,ARTE.DE,3.42,Kinuyo Tanaka,,https://letterboxd.com/film/the-wandering-princess/,
