titel,sender
Die Geheimnisse von Lissabon,ARTE.DE
Der Pate II,3Sat
Fabian oder Der Gang vor die Hunde,ARTE.DE
Apocalypse Now - Final Cut,3Sat
Der Pate,3Sat
Die Saat des heiligen Feigenbaums,ARTE.DE
Anatomie eines Mordes,3Sat
Robin Hood - König der Diebe,3Sat
Papillon,ARD
Das Parfum - Die Geschichte eines Mörders,ZDFneo
Das Parfum - Die Geschichte eines Mörders,3Sat
Thirteen Days,3Sat
Die Blechtrommel,3Sat
Macbeth,3Sat
Disco Dancer,ARTE.DE
The Nightingale - Schrei nach Rache,3Sat
Im Rausch der Tiefe,3Sat
Legenden der Leidenschaft,3Sat
Tausend Milliarden Dollar,ARTE.DE
Memories of Murder,ARTE.DE
Tödliches Kommando,3Sat
Serpico,3Sat
Offenes Geheimnis,ARD
Der Mauretanier,3Sat
Liebe 1962,ARTE.DE
Snowpiercer,3Sat
Jennifer 8,ARTE.DE
Santosh,ARTE.DE
Gold,ARTE.DE
Nymphomaniac 2,3Sat
"Der Mann, der Liberty Valance erschoss",ARTE.DE
Match Point,3Sat
Banditen!,3Sat
Gott allein sieht mich,ARTE.DE
Nickelodeon,ARTE.DE
Jussi Adler-Olsen: Verheißung,ZDF
Stolz und Vorurteil,3Sat
Underworld,ZDFneo
Der weite Himmel,3Sat
Saturday Night Fever - Nur Samstag Nacht,3Sat
Saturday Night Fever,ARTE.DE
Heute bin ich Samba,ARTE.DE
Fräulein Smillas Gespür für Schnee,3Sat
Das Piano,3Sat
Volver - Zurückkehren,ARTE.DE
The Ordinaries,ZDF
Die letzte Nacht in Palermo,ZDF
Nymphomaniac 1,3Sat
Jungle,ZDF
The Yards - Im Hinterhof der Macht,ARTE.DE
Die Mitte der Welt,3Sat
Heads of State,ZDF
Femme Fatale,3Sat
Der Rausch,3Sat
Helden der Wahrscheinlichkeit,ARD
Prinzessinnen der Straße,ARTE.DE
Ein unmoralisches Angebot,3Sat
Charade,3Sat
The Informer - Wettlauf gegen die Zeit,ZDF
Rosalie,ARTE.DE
Amador und Marcelas Rosen,ARTE.DE
The Florida Project,3Sat
The Card Counter,3Sat
Nahschuss,ARTE.DE
The Lost City - Das Geheimnis der verlorenen Stadt,ZDF
Freizeitkapitäne,ARTE.DE
Alles außer gewöhnlich,ARTE.DE
Leid und Herrlichkeit,ARTE.DE
Sprich mit ihr,ARTE.DE
Die Outsider: Rebellen ohne Grund,3Sat
Die ewigen Brüste,ARTE.DE
Kick It Like Beckham,3Sat
À la Carte! - Freiheit geht durch den Magen,ARD
À la Carte! – Freiheit geht durch den Magen,3Sat
Der Pfau,ZDF
Local Hero,3Sat
22 Kugeln – Die Rache des Profis,3Sat
The Straight Story – Eine wahre Geschichte,3Sat
Pleasure,3Sat
Bluff,ARD
Chefs Leckerbissen,ARTE.DE
Footloose,3Sat
Up in the Air,ARTE.DE
Die Nichtstuer,ARTE.DE
Fall,ZDF
Vincent muss sterben,ARTE.DE
Die Grundschullehrerin,3Sat
Shorta – Das Gesetz der Straße,ARD
Shorta – Das Gesetz der Straße,3Sat
Die Akademie,ARTE.DE
The Break-Up Club,ZDF
Curiosa - Die Kunst der Verführung,3Sat
Geheimsache Malta,ZDF
Momo,ZDFneo
Der inszenierte Mord,ARTE.DE
Hautnah,3Sat
La Mala Educación - Schlechte Erziehung,ARTE.DE
"Es ist nur eine Phase, Hase",ARD
"Es ist nur eine Phase, Hase",3Sat
Kings of Hollywood,3Sat
Plan A – Was würdest du tun?,3Sat
"Bob, der Streuner",ZDFneo
Die Brücke,ARD
Roter Himmel,3Sat
Die wandelnde Prinzessin,ARTE.DE
Meine chaotische Hochzeit,3Sat
Eine Frau mit berauschenden Talenten,3Sat
Last Exit Reno,ARTE.DE
Aftersun,3Sat
Fräulein Ogin,ARTE.DE
Die Saat,3Sat
Darling Companion – Ein Hund fürs Leben,ARD
Gib dem Affen Zucker,ARD
Live Flesh - Mit Haut und Haar,ARTE.DE
Heidi,3Sat
Jagen auf Französisch,ZDF
Never Grow Old,3Sat
Leere Netze,ARTE.DE
Schock,ARTE.DE
Die Pyramide des Sonnengottes,3Sat
Das Totenschiff,ARTE.DE
Mord im Loft,ARD
Meine Stunden mit Leo,3Sat
Hände weg von Mississippi,ZDF-tivi
Staying Alive,ARTE.DE
